4 151 598 4 536 4332 55 1 25 403 367 706 284 111 3 445 508 13 360 674 3 4037 6364 55 1 9971 249 4017 2 1 44 25 11 298 12 23 2053 5 44 4 7 3705 32 8 13 3669 9 151 31 12 95 117 125 196 40 752 37 170 80 16 133 5 790 55 1 138 201 249 381 16 1738 125 81 284 15 4 73 17 25 2 4 67 103 9 74 3 339 181 5 86 14 1 9971 18 1850 47 376 488 2 18 1850 85 119 6070 84 12 79 5697 249 719 39 3 486 45 1014 1850 112 3372 112 3330 112 7992 1 249 18 109 33 8 1199 1 89 15 4 1678 13 360 11 164 398 139 5 492 3 2915 6 488 28 12 4 62 1 267 249 27 205 549 59 7723 173 601 4528 512 179 34 370 940 64 21 847 123 1 775 2 7888 1561 151 161 5 97 42 1 629 182 	5
89 995 5 50 5 2930 24 4248 2 3421 18 474 458 1182 186 16 46 248 997 6 1053 42 6 1 604 12 18 474 2 44 339 737 6 1 286 217 263 1053 970 8 257 1 510 6 284 61 692 14 61 2161 36 196 3 3903 660 18 118 596 263 970 176 278 10 110 19 3 1206 120 93 3094 2 98 171 1380 6 217 1 171 849 6 1 1053 64 29 721 997 10 247 12 151 1905 2 3 529 6 1416 1 879 128 42 5 55 3 75 111 8500 640 230 485 18 20 6573 1479 319 169 7 40 354 83 112 23 2120 146 2 18 132 13 153 33 256 2360 4 154 234 16 135 11 2226 36 37 10 47 458 1182 19 45 22 1125 91 34 30 2 4 70 31 65 	5
110 43 1277 14 1 4290 2 360 17 25 8 1 339 1289 1770 762 788 21 481 12 9 7 1 4496 3646 43 19 491 10 337 11 1997 1069 1299 24 668 615 1 591 186 16 108 61 185 21 415 14 1 960 1416 520 677 2 4 807 1 5981 96 14 1301 210 544 1438 23 56 389 202 14 2847 12 7 41 211 360 23 1 791 3374 14 6614 4 373 169 2 39 1 30 7 134 33 29 69 41 730 2 613 206 2 217 1822 33 8 59 1543 115 12 3365 1275 6297 32 81 32 56 210 387 33 8 141 3 75 679 11 1 65 2308 370 1106 817 48 3771 3099 1106 817 1093 32 81 32 642 2354 1161 2 79 489 234 3 570 5 4259 679 10 3 145 8333 185 	5
4 395 31 2830 2 1291 12 17 8 22 3 200 1016 207 4 1771 5 103 1 207 8 3 26 25 11 3 4360 10 750 553 946 547 2 1083 1054 10 247 221 10 1229 1054 392 20 5 50 1524 11 3 4360 9 8 34 1633 14 370 1259 17 207 62 2888 	3
1023 73 17 207 20 63 3 2033 10 6313 15 7 41 435 14 1 1317 121 1052 88 188 505 11 2813 1266 94 74 875 388 58 3131 294 88 12 150 33 714 137 2237 19 1 1244 39 29 1561 42 6 3 251 232 19 171 554 1691 27 47 207 16 622 5 414 38 12 61 182 1561 313 958 878 2813 11 8650 377 52 37 3117 3344 293 17 7 93 1855 294 88 1956 40 8406 39 47 2020 387 5 5278 1 1165 158 112 671 5 436 1 79 207 309 85 5 1388 3 5197 10 38 464 94 3352 39 29 1561 42 6 1 699 9254 2239 1 1244 68 1152 777 4256 330 4 1519 12 1 1244 1526 3442 699 3910 19 1 267 158 251 232 19 1 4315 27 47 207 3455 5 157 9 220 20 3442 49 19 1 1244 3910 94 141 3352 39 801 29 1561 42 112 506 4 847 9 1219 48 44 6 61 5662 2 9 7 1174 76 	2
106 123 132 3 1447 2 522 5 31 574 177 5 1 568 201 4069 41 1667 22 5 957 9 7 9032 3344 293 12 158 4 244 5 31 574 1524 15 1 3137 1753 7 12 17 7 39 12 7 668 900 5 1688 81 4 132 1447 15 94 40 132 194 1753 12 21 480 5 31 3 1406 531 5 408 1524 4 429 9 130 216 68 80 13 328 1696 47 67 	2
4534 681 2988 1234 5 1110 1 193 24 41 26 2 1 113 7 41 38 496 14 56 7445 1 423 7 145 2 211 32 11 245 29 339 880 198 215 508 774 19 1 380 29 69 145 2 23 3 383 681 3 2917 55 4284 1 383 7 323 15 1 2917 7 90 4 4040 1 461 113 860 5 3 388 2 252 42 12 18 109 391 6 1 2568 951 43 209 125 238 673 10 117 45 1223 4651 	3
4609 10 1 2927 180 40 416 180 1 207 3823 1337 17 612 4 20 112 4423 10 1 4 154 349 728 9 297 36 61 221 10 56 323 4789 3390 27 17 8 61 612 5 50 152 203 2 31 5645 13 224 	1
21 406 1004 1 138 99 197 604 237 93 1 6188 1460 9 8 256 170 124 1183 1 138 6188 521 2 1374 35 1 2094 6467 99 47 58 8 34 21 98 3 131 2 136 4 220 20 1190 117 5 108 3 131 48 3 138 1920 428 99 912 663 143 14 138 1920 691 2 1279 9 459 65 3339 6 2793 14 13 4188 9428 1324 45 7 1 117 2671 663 143 	3
27 4478 3 570 5 10 53 224 1632 367 237 65 2589 88 5 507 2 1 6 194 548 6 2162 1 278 5596 6 2 6864 866 53 224 24 141 754 3593 237 530 15 124 13 201 853 20 10 1 6 3 75 1618 2 1428 48 13 223 1027 73 4 20 48 1 201 507 1903 876 10 5323 80 37 170 2 60 1935 11 546 4213 11 546 442 3 138 8944 522 4543 620 8252 440 440 440 83 91 4543 507 11 13 3831 4 232 1 210 329 507 195 2 1 5533 507 2324 2 1 286 132 226 169 7 1294 2 290 31 65 5 97 1 711 1 99 8 3 555 241 266 6 3 130 4559 929 14 3 126 371 312 2 3 8775 322 37 2659 2 37 1643 50 1087 97 9 16 40 392 1589 11 73 	5
